«‡ ∑π¿Ã∫Ì,∆Ú±’ : income
europe,3574.0625
1915,2091.792079
africa,1030.814815
americas,2519.575
asia,1609.783333
europe,3531.416667
1916,2110.049505
africa,1038.925926
americas,2608.125
asia,1602.65
europe,3534.25
1917,2087.490099
africa,1050.703704
americas,2642.375
asia,1607.7
europe,3391.208333
1918,2051.207921
africa,1055.166667
americas,2700.9
asia,1552.416667
europe,3253.833333
1919,2081.673267
africa,1083.777778
americas,2721.65
asia,1598.483333
europe,3274.979167
1920,2119.391089
africa,1085.222222
americas,2744.95
asia,1603.783333
europe,3406.041667
1921,2135.836634
africa,1098.555556
americas,2732.225
asia,1619.6
europe,3451.083333
1922,2217.20297
africa,1118.574074
americas,2824.4
asia,1665.516667
europe,3636.770833
1923,2275.316832
africa,1135.555556
americas,2937.45
asia,1691.783333
europe,3735.1875
1924,2351.460396
africa,1153.018519
americas,3020.25
asia,1740.116667
europe,3906.5625
1925,2424.777228
africa,1170.537037
americas,3077.825
asia,1791.4
europe,4083.3125
1926,2475.618812
africa,1186.407407
americas,3160.5
asia,1800.216667
europe,4199.5
1927,2522.965347
africa,1198.018519
americas,3230.575
asia,1798.8
europe,4329.0625
1928,2609.544554
africa,1220.148148
americas,3365.175
asia,1843.633333
europe,4500.3125
1929,2671.054455
africa,1232.12963
americas,3432.525
asia,1889.433333
europe,4632.3125
1930,2653.009901
africa,1233.407407
americas,3365.6
asia,1873.85
europe,4630.1875
1931,2583.133663
africa,1243.703704
americas,3181.425
asia,1843.433333
europe,4516.041667
1932,2536.084158
africa,1256.981481
americas,3059.65
asia,1855.05
europe,4390.0625
1933,2596.193069
africa,1282.888889
americas,3114.45
asia,1925.216667
europe,4480.5
1934,2676.336634
africa,1308.814815
americas,3250.4
asia,1998.116667
europe,4584.1875
1935,2756.905941
africa,1336.888889
americas,3374.7
asia,2073.566667
europe,4693.770833
1936,2856.420792
africa,1364.518519
americas,3498.475
asia,2158.583333
europe,4872.0625
1937,2955.341584
africa,1389.814815
americas,3622.375
asia,2236.066667
europe,5059.791667
1938,3001.267327
africa,1396.407407
americas,3630.65
asia,2280.783333
europe,5182.854167
1939,3087.287129
africa,1417.388889
americas,3739.3
asia,2357.883333
europe,5334.333333
1940,3072.965347
africa,1439.407407
americas,3804.775
asia,2407.25
europe,5133.020833
1941,3127.475248
africa,1459.333333
americas,3975.7
asia,2475.65
europe,5112.0625
1942,3174.20297
africa,1476.5
americas,4044.2
asia,2584.683333
europe,5096.020833
1943,3223.069307
africa,1494.685185
americas,4171.875
asia,2655.55
europe,5086.229167
1944,3251.118812
africa,1514.796296
americas,4343.25
asia,2700.916667
europe,4982.125
1945,3248.990099
africa,1534.592593
americas,4408.2
asia,2712.666667
europe,4882.083333
1946,3361.128713
africa,1552.333333
americas,4480.125
asia,2819.766667
europe,5140.229167
1947,3521.816832
africa,1567.62963
americas,4609.15
asia,3011.35
europe,5452.25
1948,3689.668317
africa,1596.277778
americas,4733.175
asia,3190.083333
europe,5799.625
1949,3841.094059
africa,1618.981481
americas,4788.175
asia,3433.366667
europe,6061.395833
1950,4008.806931
africa,1652.907407
americas,4885.75
asia,3707.983333
europe,6304.4375
1951,4114.470297
africa,1703.296296
americas,5040.25
asia,3772.783333
europe,6482.666667
1952,4213.876238
africa,1734.222222
americas,5176.15
asia,3896.316667
europe,6598.541667
1953,4368.094059
africa,1762.648148
americas,5265.55
asia,4096
europe,6891.458333
1954,4525.074257
africa,1804.87037
americas,5364.675
asia,4311.816667
europe,7152.208333
1955,4704.678218
africa,1841.833333
americas,5555.275
asia,4459.9
europe,7522.520833
1956,4887.039604
africa,1910.574074
americas,5740.375
asia,4669.133333
europe,7796.833333
1957,5062.579208
africa,1938.203704
americas,5944.95
asia,4824.216667
europe,8140.145833
1958,5190.643564
africa,1968.740741
americas,6012.775
asia,5008.65
europe,8357.666667
1959,5353.668317
africa,2029.148148
americas,6059.525
asia,5252.7
europe,8631.75
1960,5608.173267
africa,2144.351852
americas,6231.85
asia,5522.083333
europe,9092.854167
1961,5827.480198
africa,2175.851852
americas,6364.8
asia,5822.966667
europe,9493.4375
1962,6053.455446
africa,2267.518519
americas,6553.85
asia,6152.116667
europe,9772.3125
1963,6298.019802
africa,2436.851852
americas,6659.175
asia,6508.316667
europe,10078
1964,6721.311881
africa,2661.925926
americas,6942.875
asia,7014.9
europe,10736.5
1965,7084.09901
africa,2852.407407
americas,7182.15
asia,7586.716667
europe,11134.77083
1966,7467.064356
africa,2977.055556
americas,7467.575
asia,8229.933333
europe,11564.3125
1967,7873.866337
africa,3075.833333
americas,7724.625
asia,9041.816667
europe,11936.08333
1968,8395.623762
africa,3369.351852
americas,7921.775
asia,10034.48333
europe,12396.47917
1969,8957.178218
africa,3523
americas,8169.075
asia,11121.45
europe,13022.04167
1970,9537.886139
africa,3651.574074
americas,8369.375
asia,12339.66667
europe,13631.52083
1971,9842.559406
africa,3615.87037
americas,8586.4
asia,12824.26667
europe,14167.25
1972,10119.77228
africa,3516.796296
americas,8812.425
asia,13292.25
europe,14671.97917
1973,10619.07426
africa,3547.166667
americas,9177.275
asia,14122.76667
europe,15396.85417
1974,11822.78713
africa,3615.333333
americas,9329.675
asia,17577.38333
europe,15940.52083
1975,11659.96535
africa,3621.037037
americas,9320.75
asia,17104.9
europe,15846.9375
1976,12076.61881
africa,3915.833333
americas,9680.4
asia,17559.95
europe,16400.1875
1977,12203.33168
africa,3986.111111
americas,10030.125
asia,17303.81667
europe,16883.10417
1978,12281.35644
africa,4073.5
americas,10437.475
asia,16866.93333
europe,17319.79167
1979,12877.97525
africa,4259.388889
americas,10832.15
asia,18052.11667
europe,17811.0625
1980,12948.97525
africa,4274.462963
americas,11070.85
asia,17842.11667
europe,18156.47917
1981,12565.77228
africa,4006.12963
americas,11157.15
asia,16693.33333
europe,18209.77083
1982,12174.44059
africa,3955.166667
americas,10988.3
asia,15423.55
europe,18348.1875
1983,12074.94554
africa,3886.925926
americas,11003.075
asia,14958.78333
europe,18574.89583
1984,12197.57426
africa,3779.351852
americas,11249.55
asia,14950.81667
europe,19016.54167
1985,12104.94554
africa,3768.222222
americas,11472.675
asia,14237.4
europe,19345.08333
1986,12013.42079
africa,3568.037037
americas,11824.225
asia,13439.4
europe,19889.66667
1987,12212.85644
africa,3431.555556
americas,12233.375
asia,13666.15
europe,20258.10417
1988,12351.86634
africa,3414.333333
americas,12690.875
asia,13395.96667
europe,20818.95833
1989,12640.62871
africa,3561.592593
americas,12982.425
asia,13651
europe,21306.75
1990,12814.02956
africa,3587.388889
americas,13099.375
asia,14172.88333
europe,21085.32653
1991,12557.49754
africa,3656.092593
americas,13082.275
asia,13694.13333
europe,20547.02041
1992,12622.56158
africa,3603.685185
americas,13182.125
asia,14483.41667
europe,19826.34694
1993,12655.99507
africa,3544.388889
americas,13340.125
asia,14857.75
europe,19442.85714
1994,12885.71921
africa,3532.166667
americas,13619.3
asia,15169.1
europe,19798.89796
1995,13171.69458
africa,3504.203704
americas,13776.975
asia,15595.55
europe,20363.57143
1996,13469.68473
africa,3612.277778
americas,14028.725
asia,15855.71667
europe,20954.91837
1997,13948.66502
africa,3765.444444
americas,14503.4
asia,16383.95
europe,21736.16327
1998,14220.85714
africa,3836.740741
americas,14919.975
asia,16313.05
europe,22532
1999,14442.22167
africa,3863.5
americas,15129.8
asia,16356.03333
europe,23195.67347
2000,14905.48276
africa,3930.314815
americas,15446.775
asia,16863.88333
europe,24160.65306
2001,15068.62069
africa,4076.722222
americas,15532.875
asia,16819.81667
europe,24658.83673
2002,15250.65517
africa,4152.962963
americas,15475.575
asia,17065.95
europe,25074.34694
2003,15587.84729
africa,4282.351852
americas,15719.675
asia,17504.36667
europe,25592.59184
2004,16248.19212
africa,4539.740741
americas,16200.325
asia,18426.96667
europe,26522.57143
2005,16677.28079
africa,4778.5
americas,16740.8
asia,18588.65
europe,27397.91837
2006,17291.78818
africa,4883.203704
americas,17397.175
asia,19169.63333
europe,28581.12245
2007,17871.6601
africa,5147.833333
americas,17880.875
asia,19505.41667
europe,29885.79592
2008,17965.69458
africa,5277.87037
americas,18050.125
asia,19498.25
europe,30002.67347
2009,17202.37438
africa,5177.685185
americas,17267.075
asia,18902.5
europe,28319.46939
2010,17559.95074
africa,5297.203704
americas,17321.15
asia,19705.3
europe,28641.97959
2011,18019.33333
africa,5078.833333
americas,18076.34146
asia,20518.31667
europe,29172.61224
2012,18127.67488
africa,5385.87037
americas,17700.425
asia,20952.11667
europe,29059.93878
2013,18305.50246
africa,5393.962963
americas,17867.925
asia,21357.65
europe,29154.42857
2014,18628.31034
africa,5367.425926
americas,18010.75
asia,22030.18333
europe,29580.91837
√—«’∞Ë,4607.365066
